FMAID,Parent ID
85802,
85817,
62801,
62955,
312867,
274321,
5024,3710
312602,3710
86255,3711
86254,3711
66267,3714
66269,3714
15789,3717
81032,3717
77160,3717
51893,3717
50804,3717
13438,3724
323691,3724
57027,3724
326637,3724
62797,3724
299999,3724
59915,3724
57836,3724
78468,3724
326646,3724
19383,3724
326666,3724
59676,3724
326635,3724
77190,3724
77047,3724
15990,3724
77740,3724
31732,3724
13105,3724
77758,3724
326644,3724
14088,3724
54978,3724
326676,3724
326615,3724
59806,3724
3725,3724
326624,3724
19603,3724
20272,3724
327444,3724
326613,3724
242766,3724
20079,3724
326633,3724
326254,3724
13100,3724
61275,3724
20422,3724
56932,3724
326645,3724
327326,3724
323099,3724
59365,3724
15994,3724
326654,3724
323666,3724
59645,3724
19984,3724
53133,3724
14556,3724
326634,3724
326649,3724
77281,3724
15758,3724
77049,3724
326620,3724
326643,3724
17749,3724
326614,3724
13439,3724
326652,3724
9507,3724
77263,3724
326672,3724
58767,3724
55473,3724
15711,3724
19703,3724
19930,3724
326618,3724
55508,3724
326693,3724
9474,3724
326612,3724
20119,3724
326627,3724
15997,3724
58784,3724
29746,3724
326619,3724
63589,3724
20077,3724
58291,3724
327322,3724
56913,3724
14563,3724
55472,3724
18123,3724
3762,3725
3754,3725
3755,3725
3763,3725
3727,3726
3732,3726
3728,3727
3730,3727
3729,3727
3731,3727
44676,3728
22838,3728
22834,3728
77442,3728
58529,3728
3811,3728
20271,3728
59002,3728
44677,3728
58581,3728
323231,3729
22914,3729
323251,3729
22911,3729
50784,3729
323205,3731
3748,3745
13440,3745
4687,3800
4682,3800
3818,3813
3815,3813
3817,3813
3816,3813
3839,3835
3838,3835
3837,3835
3849,3845
3848,3845
3847,3845
322901,3860
322902,3860
322903,3860
3872,3870
3874,3870
3876,3870
3886,3878
3888,3878
3890,3878
3894,3892
3893,3892
322900,3892
322906,3902
322905,3902
322907,3902
3912,3909
3911,3909
3910,3909
265165,3918
265167,3918
265169,3918
3941,3939
4058,3939
4062,3947
3949,3947
4694,3951
3953,3951
4066,3956
3958,3956
3969,3960
4068,3960
3972,3963
4070,3963
14228,3964
3973,3964
10666,3964
3992,3990
4084,3990
4112,3994
5041,3994
79660,4055
79659,4055
68142,4142
